RowNum,sourceurl,monthyear,sqldate,nummentions,numsources,numarticles,eventcode,actor1name,actor1countrycode,actor2name,actor2countrycode
1,HTTP://hindi.news18.com/news/family-and-welfare/health/treatment-of-malaria-now-easier-961468.html,201703,20170322,10,1,10,090,AUSTRALIA,AUS,SCIENTIST,
2,HTTP://hindi.news18.com/news/world/scientific-breakthrough-to-aid-malaria-vacccine-research-961021.html,201703,20170321,10,1,10,090,AUSTRALIA,AUS,SCIENTIST,
3,HTTP://www.moneycontrol.com/news/business/sun-pharma-joins-handsicmr-for-malaria-eradication-prog_6403101.html,201604,20160426,2,1,2,051,,,HEALTH MINIST,
4,HTTP://www.moneycontrol.com/news/business/sun-pharma-joins-handsicmr-for-malaria-eradication-prog_6403101.html,201604,20160426,8,1,8,051,,,HEALTH MINIST,
5,http://06880danwoog.com/2015/05/12/unearthing-a-mosquitoes-and-malaria-mystery-at-burying-hill-beach/,201505,20150512,10,1,10,051,CONNECTICUT,USA,POPULATION,
6,http://100noticias.com.ni/especialistas-en-vigilancia-de-malaria-visitaran-nicaragua-en-febrero/,201801,20180120,10,1,10,190,BRAZIL,BRA,PRESIDENT,
7,http://100noticias.com.ni/nicaragua-recibira-financiamiento-para-eliminar-la-malaria/,201801,20180126,10,1,10,071,NICARAGUA,NIC,,
8,http://1031kcda.iheart.com/content/2017-09-06-malaria-death-of-young-girl-has-italian-authorities-mystified/,201709,20170909,90,1,90,090,ITALY,ITA,AUTHORITIES,
9,http://180graus.com/noticias/pedro-bial-e-diagnosticado-com-malaria-apos-viagem-para-litoral-de-sp,201509,20150904,10,1,10,042,,,SAINT,
10,http://180graus.com/noticias/pedro-bial-e-diagnosticado-com-malaria-apos-viagem-para-litoral-de-sp,201509,20150904,10,1,10,043,SAINT,,,
11,http://1koboafrica.com/n5000-tax-enough-save-child-malaria-says-firs-chief-fowler/,201608,20160829,4,1,4,070,NIGERIA,NGA,,
12,http://1koboafrica.com/n5000-tax-enough-save-child-malaria-says-firs-chief-fowler/,201608,20160829,6,1,6,071,AFRICA,AFR,,
